transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,waste_co2_monthly,clothing_co2_monthly,grocery_bill_monthly,energy_efficient,monthly_co2_kg
car_ev,182.9,dairy,0.75,natural_gas,4.86,0,0.0,60.62,9.17,215.0,0,131.58
bicycle,1.73,fish,0.15,coal,3.87,0,0.0,12.99,1.67,240.0,1,69.25
bicycle,2.07,dairy,0.75,coal,3.73,4,8000.0,30.31,34.17,69.0,0,192.42
bus,51.13,vegetables,0.9,grid_eu,5.72,0,0.0,51.96,30.83,184.0,0,180.42
bus,55.03,vegetables,0.9,coal,4.15,1,2000.0,21.65,28.33,238.0,1,113.58
car_petrol,96.03,dairy,0.75,coal,4.5,4,8000.0,12.99,40.83,63.0,1,230.5
car_diesel,56.93,chicken,0.15,coal,4.19,1,2000.0,34.64,28.33,167.0,0,158.25
car_petrol,210.9,dairy,0.75,coal,2.59,1,2000.0,10.82,16.67,173.0,0,275.08
bus,30.77,chicken,0.15,coal,4.46,8,16000.0,4.33,32.5,133.0,1,222.0
car_diesel,89.3,dairy,0.75,grid_eu,2.87,4,8000.0,10.82,38.33,109.0,1,160.33
bus,62.07,fish,0.15,grid_eu,3.65,0,0.0,21.65,37.5,278.0,0,129.17
car_petrol,322.03,chicken,0.15,coal,3.45,1,2000.0,17.32,29.17,139.0,0,397.75
car_diesel,71.03,vegetables,0.9,coal,5.79,4,8000.0,4.33,30.83,193.0,0,219.75
bus,61.6,chicken,0.15,coal,5.38,1,2000.0,10.82,6.67,240.0,0,167.0
bus,36.13,vegetables,0.9,coal,4.66,8,16000.0,34.64,33.33,264.0,1,255.42
bus,44.57,fish,0.15,natural_gas,4.56,1,2000.0,43.3,2.5,224.0,0,130.0
car_petrol,130.3,fish,0.15,coal,4.38,4,8000.0,25.98,15.83,91.0,1,334.58
bicycle,0.63,vegetables,0.9,natural_gas,4.67,8,16000.0,60.62,40.83,220.0,0,233.92
bicycle,2.53,dairy,0.75,grid_eu,5.8,8,16000.0,15.16,30.83,161.0,0,234.58
car_petrol,210.17,fish,0.15,natural_gas,3.04,0,0.0,45.47,34.17,63.0,1,184.0
car_petrol,272.1,dairy,0.75,grid_eu,3.18,8,16000.0,8.66,15.0,287.0,0,305.25
bus,31.7,vegetables,0.9,coal,4.51,4,8000.0,90.93,10.83,181.0,0,208.58
bus,6.13,fish,0.15,coal,5.01,1,2000.0,25.98,2.5,147.0,1,126.17
bicycle,2.77,chicken,0.15,coal,2.97,1,2000.0,10.82,23.33,129.0,0,136.5
car_ev,131.27,fish,0.15,natural_gas,3.86,1,2000.0,25.98,27.5,92.0,1,133.5
car_petrol,233.0,dairy,0.75,grid_eu,5.24,0,0.0,21.65,2.5,294.0,1,302.08
car_ev,100.7,dairy,0.75,natural_gas,4.45,8,16000.0,75.78,25.0,285.0,1,299.08
car_petrol,57.1,chicken,0.15,natural_gas,4.51,0,0.0,43.3,9.17,281.0,0,171.0
bicycle,1.07,fish,0.15,coal,5.42,8,16000.0,12.99,17.5,215.0,1,216.92
bicycle,3.3,dairy,0.75,natural_gas,6.15,1,2000.0,15.16,40.83,195.0,1,156.0
bicycle,0.83,vegetables,0.9,grid_eu,5.79,4,8000.0,10.82,11.67,51.0,1,143.42
bicycle,2.63,fish,0.15,coal,3.93,0,0.0,4.33,40.83,234.0,0,105.17
bus,2.63,fish,0.15,grid_eu,5.28,4,8000.0,43.3,25.83,92.0,1,162.0
bus,5.27,chicken,0.15,natural_gas,5.26,8,16000.0,45.47,33.33,205.0,1,254.08
bus,54.33,vegetables,0.9,natural_gas,4.25,1,2000.0,34.64,10.83,169.0,1,109.75
car_ev,265.37,fish,0.15,coal,4.4,8,16000.0,21.65,30.0,82.0,0,220.33
bus,64.93,chicken,0.15,coal,5.87,1,2000.0,90.93,37.5,111.0,0,212.33
bus,25.4,vegetables,0.9,coal,5.7,0,0.0,10.82,40.83,299.0,1,130.5
bus,51.9,vegetables,0.9,coal,4.04,0,0.0,90.93,18.33,256.0,1,137.67
bicycle,2.63,vegetables,0.9,natural_gas,5.21,0,0.0,8.66,36.67,232.0,0,93.67
bicycle,1.53,dairy,0.75,natural_gas,2.89,8,16000.0,30.31,0.83,168.0,1,161.25
bus,29.83,chicken,0.15,natural_gas,5.46,8,16000.0,75.78,27.5,171.0,0,289.83
car_petrol,239.87,dairy,0.75,natural_gas,3.02,0,0.0,34.64,16.67,139.0,0,249.92
bicycle,0.37,chicken,0.15,coal,4.12,8,16000.0,90.93,32.5,76.0,0,237.33
bicycle,0.97,dairy,0.75,natural_gas,4.78,8,16000.0,25.98,1.67,90.0,0,267.17
car_petrol,330.0,vegetables,0.9,coal,4.41,8,16000.0,12.99,6.67,123.0,0,410.25
bicycle,1.53,dairy,0.75,grid_eu,4.71,4,8000.0,51.96,12.5,139.0,0,134.92
car_petrol,184.33,vegetables,0.9,natural_gas,4.55,0,0.0,25.98,1.67,249.0,0,240.5
bus,15.2,chicken,0.15,coal,4.58,0,0.0,17.32,21.67,254.0,1,106.0
bicycle,3.0,chicken,0.15,coal,4.71,8,16000.0,25.98,25.83,91.0,0,221.75
bicycle,1.9,fish,0.15,natural_gas,4.74,0,0.0,45.47,32.5,209.0,0,112.0
bicycle,2.9,dairy,0.75,grid_eu,4.07,1,2000.0,45.47,26.67,260.0,0,115.83
bicycle,2.07,vegetables,0.9,grid_eu,5.32,4,8000.0,106.09,6.67,80.0,0,204.42
bus,49.67,fish,0.15,coal,4.11,1,2000.0,45.47,25.83,275.0,0,153.33
car_ev,187.1,vegetables,0.9,coal,4.57,0,0.0,51.96,38.33,249.0,0,185.0
bicycle,0.5,chicken,0.15,natural_gas,4.05,4,8000.0,2.17,24.17,131.0,0,172.92
bicycle,1.37,vegetables,0.9,coal,3.32,8,16000.0,8.66,1.67,50.0,0,163.25
bicycle,1.3,fish,0.15,coal,4.22,8,16000.0,12.99,21.67,167.0,0,194.17
car_ev,263.13,vegetables,0.9,grid_eu,3.67,1,2000.0,25.98,36.67,262.0,0,136.42
bicycle,1.67,chicken,0.15,coal,4.18,8,16000.0,25.98,15.83,167.0,1,215.17
bicycle,1.47,vegetables,0.9,natural_gas,5.28,0,0.0,90.93,35.83,257.0,1,151.33
bus,47.27,fish,0.15,coal,3.1,8,16000.0,17.32,31.67,207.0,0,328.83
bus,17.5,dairy,0.75,coal,4.37,1,2000.0,2.17,34.17,122.0,0,119.42
bicycle,1.23,vegetables,0.9,coal,4.67,0,0.0,8.66,30.83,273.0,0,107.67
bicycle,1.0,chicken,0.15,grid_eu,6.03,1,2000.0,17.32,17.5,140.0,1,96.25
bus,35.3,dairy,0.75,coal,6.25,1,2000.0,106.09,7.5,289.0,0,131.58
car_petrol,168.97,chicken,0.15,coal,5.79,8,16000.0,17.32,37.5,184.0,0,279.0
car_diesel,323.8,dairy,0.75,coal,6.03,4,8000.0,6.5,32.5,260.0,1,363.5
car_petrol,158.93,fish,0.15,coal,6.1,1,2000.0,8.66,13.33,267.0,0,296.33
bicycle,0.17,chicken,0.15,coal,5.27,8,16000.0,17.32,4.17,79.0,0,225.83
car_petrol,330.43,dairy,0.75,coal,6.07,1,2000.0,106.09,28.33,206.0,0,394.67
car_diesel,325.23,chicken,0.15,grid_eu,4.19,4,8000.0,25.98,31.67,175.0,0,395.58
bicycle,2.3,fish,0.15,coal,6.17,1,2000.0,25.98,1.67,259.0,1,115.33
car_diesel,109.8,chicken,0.15,grid_eu,4.59,4,8000.0,21.65,21.67,62.0,0,184.42
bus,16.4,dairy,0.75,coal,4.06,8,16000.0,10.82,13.33,144.0,1,173.83
car_ev,245.97,chicken,0.15,grid_eu,5.28,1,2000.0,8.66,25.83,229.0,0,128.17
bicycle,0.33,fish,0.15,coal,3.94,0,0.0,25.98,6.67,116.0,0,88.5
bicycle,0.3,chicken,0.15,grid_eu,6.05,0,0.0,8.66,35.0,172.0,1,112.75
bicycle,0.3,chicken,0.15,natural_gas,3.55,1,2000.0,75.78,1.67,81.0,1,96.83
bus,17.33,dairy,0.75,natural_gas,4.19,8,16000.0,21.65,37.5,299.0,0,230.08
bicycle,2.93,vegetables,0.9,coal,4.04,0,0.0,4.33,22.5,214.0,0,89.5
bus,21.67,vegetables,0.9,coal,3.38,8,16000.0,10.82,40.0,111.0,0,234.83
bicycle,1.87,chicken,0.15,coal,4.03,1,2000.0,2.17,15.0,263.0,0,106.92
bus,14.37,fish,0.15,coal,6.17,1,2000.0,90.93,30.0,233.0,0,205.42
bicycle,1.2,dairy,0.75,coal,2.92,0,0.0,90.93,16.67,271.0,1,140.92
bus,21.3,dairy,0.75,coal,4.0,0,0.0,60.62,20.83,286.0,1,174.17
car_petrol,267.53,chicken,0.15,grid_eu,4.79,8,16000.0,25.98,12.5,274.0,0,455.5
car_petrol,237.2,fish,0.15,grid_eu,4.29,8,16000.0,2.17,28.33,180.0,0,238.17
bus,50.17,vegetables,0.9,grid_eu,4.41,4,8000.0,8.66,39.17,202.0,1,134.0
car_ev,318.83,dairy,0.75,coal,4.87,4,8000.0,60.62,18.33,287.0,1,193.17
bus,19.13,vegetables,0.9,coal,3.13,8,16000.0,90.93,15.0,113.0,0,266.0
car_petrol,319.73,vegetables,0.9,coal,4.48,1,2000.0,25.98,16.67,279.0,1,299.33
bicycle,3.03,chicken,0.15,natural_gas,4.67,8,16000.0,21.65,15.83,211.0,1,207.58
bicycle,3.17,vegetables,0.9,coal,4.84,0,0.0,75.78,33.33,189.0,1,135.58
bicycle,2.0,dairy,0.75,grid_eu,5.68,4,8000.0,12.99,33.33,239.0,1,136.83
bus,58.6,vegetables,0.9,coal,3.28,1,2000.0,12.99,22.5,155.0,1,116.58
bus,44.77,vegetables,0.9,coal,3.56,8,16000.0,60.62,11.67,190.0,1,202.75
bicycle,0.9,chicken,0.15,coal,2.93,8,16000.0,60.62,1.67,110.0,0,229.0
bicycle,2.57,chicken,0.15,coal,4.01,4,8000.0,4.33,39.17,238.0,0,169.33
bus,14.53,dairy,0.75,coal,3.98,4,8000.0,12.99,35.0,111.0,0,158.25
bus,18.27,chicken,0.15,coal,4.74,4,8000.0,90.93,15.0,155.0,0,254.25
bicycle,0.5,chicken,0.15,grid_eu,5.34,8,16000.0,25.98,15.83,127.0,1,175.67
car_petrol,235.63,fish,0.15,coal,5.24,8,16000.0,8.66,11.67,153.0,1,383.75
bicycle,2.27,chicken,0.15,coal,3.89,0,0.0,17.32,36.67,56.0,0,112.0
bus,64.63,dairy,0.75,coal,4.28,4,8000.0,4.33,5.83,91.0,1,161.83
bus,66.67,chicken,0.15,grid_eu,4.19,1,2000.0,15.16,25.83,289.0,1,150.25
bus,59.07,vegetables,0.9,coal,5.06,0,0.0,30.31,12.5,161.0,0,121.42
bus,9.07,chicken,0.15,natural_gas,3.57,8,16000.0,34.64,23.33,156.0,0,256.67
car_petrol,149.07,dairy,0.75,natural_gas,4.66,1,2000.0,17.32,39.17,289.0,0,221.5
car_petrol,270.07,dairy,0.75,natural_gas,5.12,0,0.0,15.16,27.5,180.0,0,344.58
bus,12.1,vegetables,0.9,coal,5.06,8,16000.0,106.09,10.0,187.0,0,217.5
bicycle,0.33,chicken,0.15,coal,6.28,8,16000.0,15.16,28.33,124.0,1,255.42
car_ev,97.37,dairy,0.75,grid_eu,3.7,4,8000.0,4.33,9.17,226.0,1,112.83
car_petrol,23.07,fish,0.15,natural_gas,5.12,1,2000.0,2.17,34.17,142.0,0,183.42
bus,52.6,chicken,0.15,grid_eu,4.9,0,0.0,75.78,5.0,265.0,0,151.17
car_petrol,274.27,chicken,0.15,grid_eu,4.1,1,2000.0,2.17,21.67,68.0,0,235.33
bus,1.47,chicken,0.15,coal,5.32,1,2000.0,34.64,26.67,123.0,1,157.0
car_petrol,122.73,dairy,0.75,coal,5.92,4,8000.0,21.65,39.17,187.0,0,325.0
bus,16.0,fish,0.15,grid_eu,4.37,1,2000.0,17.32,31.67,132.0,1,147.08
bus,12.73,vegetables,0.9,coal,5.82,1,2000.0,12.99,35.83,292.0,0,144.0
car_petrol,270.7,fish,0.15,coal,4.39,8,16000.0,2.17,16.67,78.0,1,435.08
bicycle,3.3,vegetables,0.9,grid_eu,3.83,0,0.0,8.66,31.67,93.0,0,77.75
bicycle,0.67,fish,0.15,coal,3.62,4,8000.0,8.66,30.83,106.0,0,182.58
bus,8.07,chicken,0.15,coal,3.92,8,16000.0,25.98,34.17,140.0,0,225.92
bus,51.8,dairy,0.75,coal,3.58,8,16000.0,25.98,19.17,135.0,1,260.67
car_petrol,4.6,dairy,0.75,coal,3.36,8,16000.0,21.65,21.67,263.0,0,239.25
bicycle,2.17,dairy,0.75,natural_gas,5.46,8,16000.0,45.47,5.83,138.0,1,239.25
bus,17.03,chicken,0.15,grid_eu,4.36,4,8000.0,43.3,17.5,190.0,0,152.83
bicycle,0.87,chicken,0.15,natural_gas,4.71,1,2000.0,8.66,25.83,292.0,1,100.67
bus,34.67,chicken,0.15,coal,4.91,0,0.0,15.16,37.5,145.0,0,131.67
car_petrol,187.47,vegetables,0.9,grid_eu,2.94,0,0.0,90.93,7.5,60.0,1,168.17
car_petrol,18.53,fish,0.15,grid_eu,5.76,1,2000.0,60.62,26.67,134.0,0,151.08
bus,21.87,dairy,0.75,coal,3.8,1,2000.0,17.32,22.5,164.0,0,135.0
bicycle,0.03,dairy,0.75,natural_gas,3.88,8,16000.0,106.09,17.5,214.0,1,339.25
car_petrol,149.2,vegetables,0.9,coal,5.05,8,16000.0,8.66,23.33,212.0,0,325.08
bus,35.77,fish,0.15,coal,6.21,0,0.0,4.33,35.0,118.0,0,82.17
bicycle,0.43,chicken,0.15,natural_gas,5.26,8,16000.0,34.64,13.33,153.0,0,207.92
bus,26.13,chicken,0.15,coal,3.94,8,16000.0,17.32,35.83,290.0,0,222.67
bicycle,0.57,dairy,0.75,grid_eu,5.21,1,2000.0,12.99,28.33,249.0,0,106.08
bus,0.23,dairy,0.75,grid_eu,4.22,1,2000.0,17.32,19.17,94.0,0,80.75
bicycle,2.23,vegetables,0.9,natural_gas,3.17,0,0.0,8.66,39.17,79.0,0,101.92
car_petrol,146.87,vegetables,0.9,coal,3.75,4,8000.0,10.82,22.5,137.0,0,212.25
bus,27.4,fish,0.15,coal,5.4,0,0.0,8.66,41.67,147.0,1,137.17
bus,44.4,chicken,0.15,coal,4.02,0,0.0,6.5,14.17,54.0,0,61.67
bus,66.53,dairy,0.75,natural_gas,5.72,8,16000.0,17.32,5.83,194.0,0,200.33
car_petrol,329.43,dairy,0.75,coal,4.75,8,16000.0,21.65,22.5,138.0,0,627.58
bicycle,1.6,chicken,0.15,coal,4.79,0,0.0,25.98,0.83,234.0,0,132.58
bus,21.93,fish,0.15,natural_gas,4.71,0,0.0,60.62,23.33,64.0,0,107.83
bus,12.0,fish,0.15,grid_eu,4.52,8,16000.0,90.93,25.83,162.0,0,309.75
car_petrol,280.73,dairy,0.75,natural_gas,4.72,4,8000.0,25.98,4.17,198.0,1,303.0
bicycle,1.47,chicken,0.15,grid_eu,5.53,1,2000.0,75.78,9.17,289.0,0,181.58
bicycle,1.57,dairy,0.75,coal,3.26,4,8000.0,51.96,38.33,226.0,0,164.92
car_diesel,331.3,fish,0.15,coal,2.86,0,0.0,45.47,17.5,210.0,1,295.75
car_petrol,275.97,chicken,0.15,coal,5.82,0,0.0,34.64,20.0,152.0,1,259.75
bus,52.4,chicken,0.15,grid_eu,5.36,1,2000.0,17.32,10.83,278.0,0,102.67
bicycle,2.27,dairy,0.75,grid_eu,3.95,0,0.0,75.78,5.83,192.0,1,98.17
bicycle,2.3,fish,0.15,coal,4.1,0,0.0,21.65,5.0,192.0,1,109.08
car_petrol,328.93,dairy,0.75,coal,5.65,4,8000.0,6.5,35.0,67.0,0,469.5
bicycle,2.93,chicken,0.15,natural_gas,5.27,1,2000.0,12.99,5.0,258.0,0,90.83
bus,64.1,chicken,0.15,natural_gas,3.88,4,8000.0,12.99,24.17,89.0,0,134.0
bicycle,0.37,vegetables,0.9,natural_gas,4.83,1,2000.0,17.32,35.83,73.0,0,109.92
bicycle,0.37,vegetables,0.9,grid_eu,4.64,8,16000.0,25.98,19.17,79.0,0,173.92
bicycle,2.93,vegetables,0.9,coal,6.28,0,0.0,12.99,10.83,243.0,1,81.75
car_petrol,285.13,chicken,0.15,coal,4.12,0,0.0,45.47,30.0,127.0,1,307.83
bus,65.37,fish,0.15,coal,4.46,1,2000.0,45.47,16.67,171.0,1,161.58
bicycle,1.57,fish,0.15,grid_eu,4.72,0,0.0,75.78,24.17,274.0,0,144.58
bicycle,2.8,fish,0.15,coal,4.84,8,16000.0,60.62,38.33,70.0,1,221.75
bus,61.73,fish,0.15,natural_gas,4.57,4,8000.0,21.65,25.83,233.0,0,168.25
car_ev,316.67,chicken,0.15,coal,5.22,4,8000.0,75.78,15.83,156.0,0,202.92
car_diesel,118.07,vegetables,0.9,natural_gas,4.05,8,16000.0,90.93,20.83,285.0,0,343.08
bicycle,0.53,fish,0.15,grid_eu,6.25,0,0.0,4.33,20.0,160.0,0,75.42
bus,26.8,fish,0.15,coal,4.01,1,2000.0,60.62,8.33,220.0,0,135.17
car_diesel,62.77,dairy,0.75,grid_eu,3.8,8,16000.0,25.98,30.0,210.0,0,257.33
bicycle,2.17,chicken,0.15,coal,4.28,4,8000.0,43.3,30.83,103.0,0,248.5
bus,18.0,fish,0.15,coal,3.76,4,8000.0,8.66,5.83,99.0,0,104.92
bus,28.37,dairy,0.75,grid_eu,3.58,1,2000.0,12.99,36.67,215.0,0,100.67
bicycle,1.2,fish,0.15,grid_eu,2.88,4,8000.0,4.33,31.67,192.0,1,146.33
bus,18.93,vegetables,0.9,natural_gas,4.67,0,0.0,25.98,28.33,130.0,0,104.42
bus,26.4,vegetables,0.9,coal,6.11,1,2000.0,4.33,41.67,173.0,0,149.42
car_petrol,270.63,chicken,0.15,coal,4.11,4,8000.0,12.99,38.33,204.0,0,380.83
car_ev,222.47,chicken,0.15,grid_eu,4.44,1,2000.0,30.31,10.83,200.0,1,98.33
bus,22.97,chicken,0.15,coal,3.17,8,16000.0,90.93,41.67,63.0,0,276.5
car_petrol,12.5,chicken,0.15,grid_eu,4.34,4,8000.0,75.78,10.0,138.0,0,157.08
bus,42.17,vegetables,0.9,grid_eu,5.21,8,16000.0,90.93,35.83,50.0,0,201.17
bus,11.97,chicken,0.15,natural_gas,2.95,0,0.0,106.09,30.0,114.0,0,209.92
car_petrol,16.6,dairy,0.75,coal,3.07,1,2000.0,30.31,37.5,132.0,0,130.83
bicycle,0.27,dairy,0.75,natural_gas,3.34,4,8000.0,25.98,20.83,189.0,0,153.92
bicycle,2.57,chicken,0.15,coal,3.52,1,2000.0,25.98,41.67,154.0,1,184.17
bicycle,0.33,vegetables,0.9,coal,3.94,4,8000.0,15.16,39.17,217.0,0,174.17
bus,62.27,vegetables,0.9,coal,4.29,0,0.0,12.99,21.67,105.0,0,83.67
car_petrol,14.57,dairy,0.75,coal,5.89,0,0.0,25.98,35.0,91.0,1,167.08
bicycle,2.23,fish,0.15,coal,4.98,8,16000.0,30.31,7.5,144.0,0,224.67
bus,52.8,fish,0.15,grid_eu,4.12,4,8000.0,15.16,20.0,237.0,1,152.83
bus,47.43,chicken,0.15,grid_eu,4.59,8,16000.0,25.98,40.0,291.0,0,233.42
bicycle,0.57,chicken,0.15,coal,4.18,8,16000.0,15.16,39.17,121.0,0,237.42
bus,64.9,dairy,0.75,grid_eu,2.87,0,0.0,4.33,38.33,95.0,0,89.92
bus,6.43,chicken,0.15,coal,4.63,8,16000.0,12.99,20.0,195.0,0,279.75
bicycle,0.8,fish,0.15,coal,4.89,8,16000.0,8.66,40.83,216.0,0,259.25
bicycle,2.53,vegetables,0.9,grid_eu,5.31,4,8000.0,12.99,1.67,161.0,0,75.17
bicycle,1.3,dairy,0.75,coal,4.46,1,2000.0,10.82,18.33,299.0,1,107.67
bicycle,0.43,dairy,0.75,coal,4.04,0,0.0,106.09,15.0,62.0,0,144.08
bus,20.5,chicken,0.15,grid_eu,5.49,4,8000.0,75.78,1.67,63.0,0,121.75
car_diesel,172.97,fish,0.15,coal,5.22,0,0.0,34.64,2.5,251.0,0,193.83
bus,62.1,dairy,0.75,coal,3.49,0,0.0,45.47,35.0,285.0,0,176.75
car_petrol,284.53,dairy,0.75,coal,4.24,4,8000.0,25.98,1.67,126.0,0,336.5
car_petrol,42.33,vegetables,0.9,coal,3.69,1,2000.0,12.99,7.5,178.0,1,149.08
bus,42.23,fish,0.15,coal,4.35,0,0.0,60.62,16.67,286.0,1,153.0
car_petrol,69.37,fish,0.15,coal,4.04,1,2000.0,6.5,24.17,115.0,0,139.5
bicycle,3.13,fish,0.15,coal,4.64,8,16000.0,30.31,15.83,90.0,0,184.75
car_diesel,320.53,dairy,0.75,coal,3.5,0,0.0,6.5,23.33,174.0,0,360.58
bicycle,0.97,fish,0.15,coal,3.5,1,2000.0,15.16,23.33,160.0,1,93.58
bus,3.23,fish,0.15,grid_eu,4.29,8,16000.0,17.32,9.17,264.0,1,158.33
bus,54.03,fish,0.15,natural_gas,4.04,4,8000.0,8.66,30.83,286.0,1,156.75
car_diesel,94.83,vegetables,0.9,coal,3.88,8,16000.0,17.32,25.0,252.0,1,376.83
bicycle,1.33,fish,0.15,coal,5.66,4,8000.0,17.32,41.67,66.0,0,242.42
bicycle,0.53,fish,0.15,grid_eu,4.86,1,2000.0,17.32,14.17,81.0,0,80.67
car_diesel,14.23,dairy,0.75,natural_gas,4.44,8,16000.0,12.99,9.17,257.0,1,147.42
car_petrol,322.7,chicken,0.15,coal,5.14,1,2000.0,4.33,38.33,227.0,0,236.17
car_diesel,271.73,chicken,0.15,coal,5.53,0,0.0,25.98,13.33,156.0,0,307.25
bus,20.13,fish,0.15,natural_gas,5.94,8,16000.0,4.33,33.33,165.0,0,295.83
bicycle,0.13,fish,0.15,grid_eu,4.39,1,2000.0,90.93,18.33,88.0,0,122.75
car_petrol,31.1,dairy,0.75,grid_eu,5.27,0,0.0,75.78,25.0,177.0,0,188.67
car_diesel,86.43,vegetables,0.9,coal,3.64,8,16000.0,17.32,28.33,128.0,1,278.17
bus,34.4,vegetables,0.9,coal,4.09,1,2000.0,8.66,19.17,150.0,0,156.92
bicycle,3.27,fish,0.15,grid_eu,5.78,0,0.0,25.98,30.0,232.0,1,109.0
bicycle,1.77,vegetables,0.9,coal,4.12,0,0.0,30.31,5.0,73.0,1,51.58
bicycle,2.33,fish,0.15,coal,3.26,1,2000.0,90.93,38.33,299.0,1,211.42
bus,23.5,vegetables,0.9,natural_gas,5.26,1,2000.0,25.98,16.67,145.0,0,128.42
bus,20.47,fish,0.15,coal,3.04,0,0.0,43.3,14.17,68.0,0,103.08
bus,51.0,dairy,0.75,grid_eu,4.16,4,8000.0,25.98,12.5,50.0,0,161.75
bicycle,2.5,fish,0.15,grid_eu,4.41,0,0.0,21.65,34.17,293.0,0,130.25
bicycle,0.47,vegetables,0.9,coal,4.31,4,8000.0,25.98,28.33,211.0,0,233.83
bicycle,2.4,fish,0.15,natural_gas,4.19,1,2000.0,30.31,15.0,113.0,1,142.75
bicycle,0.13,chicken,0.15,natural_gas,5.79,1,2000.0,21.65,35.83,215.0,0,179.92
bicycle,2.93,fish,0.15,coal,5.9,1,2000.0,2.17,14.17,209.0,0,112.67
bicycle,2.1,dairy,0.75,coal,2.83,1,2000.0,4.33,40.0,157.0,1,102.58
bus,22.67,vegetables,0.9,coal,3.89,8,16000.0,60.62,27.5,52.0,0,277.25
bus,48.13,chicken,0.15,natural_gas,5.1,4,8000.0,2.17,35.0,118.0,1,166.5
bus,59.57,fish,0.15,grid_eu,3.05,1,2000.0,4.33,20.0,244.0,1,82.0
bus,17.33,dairy,0.75,grid_eu,3.29,1,2000.0,17.32,15.83,152.0,0,76.75
car_petrol,287.03,chicken,0.15,grid_eu,3.18,4,8000.0,8.66,41.67,237.0,1,396.42
car_petrol,173.57,fish,0.15,coal,5.14,4,8000.0,15.16,7.5,63.0,0,209.58
car_petrol,136.0,vegetables,0.9,grid_eu,4.61,4,8000.0,15.16,19.17,95.0,0,180.92
car_petrol,318.87,fish,0.15,natural_gas,5.2,0,0.0,17.32,22.5,175.0,0,419.42
bicycle,2.9,dairy,0.75,natural_gas,5.23,8,16000.0,10.82,34.17,51.0,1,180.83
car_petrol,224.3,vegetables,0.9,natural_gas,3.52,1,2000.0,25.98,33.33,67.0,0,247.17
bus,26.6,vegetables,0.9,coal,4.31,8,16000.0,25.98,31.67,142.0,1,256.17
bus,49.17,dairy,0.75,coal,5.59,8,16000.0,17.32,12.5,220.0,0,176.75
bus,38.63,dairy,0.75,coal,3.22,4,8000.0,17.32,5.0,208.0,0,116.17
bus,40.4,fish,0.15,coal,4.45,0,0.0,51.96,16.67,222.0,0,118.75
bus,19.83,fish,0.15,coal,3.71,4,8000.0,15.16,26.67,136.0,0,199.25
car_ev,164.07,fish,0.15,grid_eu,4.66,0,0.0,30.31,2.5,273.0,0,66.5
car_diesel,102.5,dairy,0.75,natural_gas,4.59,4,8000.0,90.93,10.0,239.0,0,260.17
car_petrol,223.07,fish,0.15,natural_gas,4.47,1,2000.0,43.3,20.0,154.0,1,196.75
bicycle,2.67,dairy,0.75,natural_gas,5.87,1,2000.0,8.66,6.67,232.0,1,69.75
bus,13.33,chicken,0.15,coal,4.43,0,0.0,12.99,25.83,288.0,0,119.0
car_petrol,52.13,chicken,0.15,coal,4.95,8,16000.0,21.65,35.0,71.0,0,320.58
car_ev,33.37,vegetables,0.9,natural_gas,4.32,4,8000.0,90.93,2.5,234.0,1,177.67
car_petrol,202.73,vegetables,0.9,coal,4.29,1,2000.0,15.16,8.33,212.0,0,143.0
bus,8.63,fish,0.15,grid_eu,5.67,8,16000.0,12.99,16.67,220.0,0,214.08
bicycle,2.7,dairy,0.75,natural_gas,6.3,0,0.0,25.98,10.83,158.0,0,98.67
bicycle,0.97,vegetables,0.9,coal,6.34,4,8000.0,4.33,27.5,195.0,1,157.33
bus,55.37,vegetables,0.9,coal,4.92,8,16000.0,43.3,5.0,214.0,0,198.25
bicycle,2.9,fish,0.15,coal,4.54,1,2000.0,60.62,18.33,131.0,0,186.67
bus,12.93,dairy,0.75,natural_gas,3.77,8,16000.0,30.31,22.5,192.0,1,269.67
bicycle,0.0,fish,0.15,coal,3.87,1,2000.0,8.66,40.83,183.0,0,150.08
bus,47.73,chicken,0.15,natural_gas,4.0,4,8000.0,90.93,30.83,284.0,0,234.92
bicycle,2.03,fish,0.15,grid_eu,5.51,4,8000.0,43.3,36.67,142.0,0,183.83
car_petrol,261.63,chicken,0.15,coal,3.64,1,2000.0,17.32,2.5,146.0,1,251.83
bicycle,1.27,dairy,0.75,coal,4.85,0,0.0,43.3,0.83,61.0,1,115.25
bus,25.2,vegetables,0.9,grid_eu,4.76,4,8000.0,51.96,31.67,108.0,0,185.92
bicycle,0.23,dairy,0.75,coal,4.31,1,2000.0,45.47,12.5,159.0,0,148.58
car_petrol,92.13,dairy,0.75,natural_gas,4.36,4,8000.0,60.62,16.67,208.0,0,261.58
car_ev,191.23,dairy,0.75,grid_eu,5.6,4,8000.0,25.98,1.67,211.0,1,148.25
bus,64.5,vegetables,0.9,natural_gas,6.31,4,8000.0,8.66,19.17,148.0,0,139.83
car_petrol,129.2,chicken,0.15,natural_gas,5.31,8,16000.0,21.65,2.5,153.0,0,332.0
bicycle,2.87,chicken,0.15,coal,4.26,8,16000.0,12.99,12.5,79.0,1,157.17
car_diesel,110.23,dairy,0.75,coal,5.81,8,16000.0,17.32,14.17,217.0,0,336.67
bicycle,2.93,vegetables,0.9,coal,5.26,0,0.0,8.66,29.17,242.0,0,136.92
